City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Pangnirtung,CA,2021-10-31 16:45:19,66.1451,-65.7125,30.2,93,90,3.44
272,Narimanov,RU,2021-10-31 16:45:19,46.6927,47.8498,42.71,81,0,7.85
273,Labuhan,ID,2021-10-31 16:45:19,-6.8844,112.2051,80.85,79,75,1.72
274,Corn Island,NI,2021-10-31 16:45:20,12.1694,-83.0418,81.7,77,100,20.04
275,Francisco Sa,BR,2021-10-31 16:45:20,-16.4758,-43.4883,84.34,41,57,6.35
276,Flagstaff,US,2021-10-31 16:45:10,35.1981,-111.6513,59.13,42,1,7.0
277,Vitim,RU,2021-10-31 16:45:21,59.4511,112.5578,17.33,95,78,2.42
278,Khuchni,RU,2021-10-31 16:45:21,41.9499,47.9485,49.62,91,77,3.67
279,Hambantota,LK,2021-10-31 16:45:21,6.1241,81.1185,79.84,83,44,2.73
280,Nelson Bay,AU,2021-10-31 16:45:22,-32.7167,152.15,57.99,93,98,6.11
281,Del Rio,US,2021-10-31 16:44:25,29.3627,-100.8968,73.81,49,1,5.75
282,Opuwo,NA,2021-10-31 16:45:22,-18.0607,13.84,83.34,14,34,20.27
283,Miajadas,ES,2021-10-31 16:45:22,39.1513,-5.9084,70.77,89,100,14.2
284,Hinton,CA,2021-10-31 16:45:23,53.4001,-117.5857,8.64,36,1,2.95
285,Isangel,VU,2021-10-31 16:45:23,-19.55,169.2667,74.93,83,36,6.51
286,Superior,US,2021-10-31 16:41:00,46.7208,-92.1041,45.95,66,40,10.36
287,Brits,ZA,2021-10-31 16:41:57,-25.6347,27.7802,79.92,21,0,4.36
288,Salalah,OM,2021-10-31 16:45:24,17.0151,54.0924,82.49,42,0,3.44
289,Chiang Klang,TH,2021-10-31 16:45:24,19.2938,100.8617,71.17,99,35,1.16
290,Mehamn,NO,2021-10-31 16:45:24,71.0357,27.8492,35.78,93,0,6.91
291,Tsiroanomandidy,MG,2021-10-31 16:45:25,-18.7667,46.0333,72.37,46,0,8.84
