City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Tuatapere,NZ,-46.1333,167.6833,47.52,87,74,7.16,broken clouds
306,Ust-Nera,RU,64.5667,143.2,-5.66,96,100,1.39,overcast clouds
307,Yangambi,CD,0.8102,24.4336,78.64,80,97,1.61,overcast clouds
308,Pringsewu,ID,-5.3582,104.9744,75.78,95,77,2.98,broken clouds
309,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,86,0,4.47,clear sky
310,Port Hedland,AU,-20.3167,118.5667,73.45,83,0,8.05,clear sky
311,Pioner,RU,55.3166,85.9508,22.44,79,0,8.95,clear sky
312,Kamenka,RU,51.3223,42.7678,46.38,65,10,6.42,clear sky
313,San Rafael,AR,-34.6177,-68.3301,73.87,24,74,23.51,broken clouds
314,Qom,IR,34.6401,50.8764,68.41,41,100,3.94,overcast clouds
315,Amapa,BR,1.0,-52.0,88.59,54,17,4.12,few clouds
316,Manica,FR,49.0,-1.1667,58.41,69,100,10.54,overcast clouds
317,Guerrero Negro,MX,27.9769,-114.0611,62.69,87,0,4.52,clear sky
318,Songea,TZ,-10.6833,35.65,82.38,38,92,8.9,overcast clouds
319,Salitral,PE,-4.8572,-80.6811,72.86,61,92,3.91,overcast clouds
320,Fallon,US,39.4735,-118.7774,46.27,93,1,0.0,clear sky
321,Batticaloa,LK,7.7102,81.6924,80.2,80,68,8.12,broken clouds
322,Gberia Fotombu,SL,9.8833,-11.1667,70.83,96,100,3.04,overcast clouds
323,Chapais,CA,49.7834,-74.8492,40.78,60,99,6.06,overcast clouds
324,Shache,CN,38.4167,77.2406,54.25,26,0,4.25,clear sky
325,Mvuma,ZW,-19.2792,30.5283,86.79,20,50,8.32,scattered clouds
326,Hinatuan,PH,8.3722,126.3342,77.65,91,100,3.44,overcast clouds
327,Tual,ID,-5.6667,132.75,82.81,76,87,5.95,overcast clouds
328,Mayumba,GA,-3.432,10.6554,80.06,81,97,11.61,light rain
329,Kautokeino,NO,69.0125,23.0412,24.87,94,100,2.08,light snow
330,Toamasina,MG,-18.1667,49.3833,77.0,78,40,5.75,scattered clouds
331,Lorengau,PG,-2.0226,147.2712,82.45,79,100,6.06,overcast clouds
332,Touros,BR,-5.1989,-35.4608,88.7,58,39,15.99,scattered clouds
333,Dalbandin,PK,28.8947,64.4101,72.61,16,0,4.41,clear sky
334,Valpacos,PT,41.6075,-7.3109,62.74,58,97,8.34,overcast clouds
335,Hay River,CA,60.8156,-115.7999,26.56,100,75,10.36,broken clouds
336,Ribeira Grande,PT,38.5167,-28.7,70.2,94,40,24.16,scattered clouds
337,Aksay,RU,47.26,39.87,55.0,48,0,7.54,clear sky
338,Arman,RU,59.7,150.1667,20.07,60,98,8.46,overcast clouds
339,Nelson Bay,AU,-32.7167,152.15,59.11,77,100,1.99,overcast clouds
340,Pout,SN,14.7739,-17.0603,93.96,31,20,10.36,few clouds
341,Laguna,US,38.421,-121.4238,61.23,93,75,4.61,broken clouds
342,Kruisfontein,ZA,-34.0033,24.7314,70.88,60,5,16.84,clear sky
343,Mirabad,AF,30.4362,61.8383,75.18,19,8,7.16,clear sky
344,Palu,ID,-0.8917,119.8707,75.29,97,96,1.92,overcast clouds
345,Namatanai,PG,-3.6667,152.4333,79.5,82,67,8.3,moderate rain
346,Cabo San Lucas,MX,22.8909,-109.9124,76.51,76,27,6.42,scattered clouds
